Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
Financial accounting (AS Level),The accounting system,the advantages and disadvantages of maintaining full accounting records,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),The accounting system,the advantages and disadvantages of maintaining full accounting records,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),The accounting system,"the accounting concepts underpinning the preparation of accounts: business entity, historic cost, money measurement, going concern, consistency, prudence, realisation, duality, materiality, objectivity, matching /accruals and substance over form",Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),The accounting system,"the accounting concepts underpinning the preparation of accounts: business entity, historic cost, money measurement, going concern, consistency, prudence, realisation, duality, materiality, objectivity, matching /accruals and substance over form",Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),The accounting system,"the accounting concepts underpinning the preparation of accounts: business entity, historic cost, money measurement, going concern, consistency, prudence, realisation, duality, materiality, objectivity, matching /accruals and substance over form",Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),The accounting system,"the accounting concepts underpinning the preparation of accounts: business entity, historic cost, money measurement, going concern, consistency, prudence, realisation, duality, materiality, objectivity, matching /accruals and substance over form",Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),The accounting system,the use of computerised accounting systems in recording financial transactions,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),The accounting system,the use of computerised accounting systems in recording financial transactions,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),The accounting system,the use of computerised accounting systems in recording financial transactions,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),The accounting system,the use of computerised accounting systems in recording financial transactions,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),The accounting system,the advantages and disadvantages of introducing a computerised accounting system,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),The accounting system,the advantages and disadvantages of introducing a computerised accounting system,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),The accounting system,the advantages and disadvantages of introducing a computerised accounting system,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),The accounting system,the advantages and disadvantages of introducing a computerised accounting system,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),The accounting system,the ways in which the security of data can be ensured within a computerised accounting system,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),The accounting system,the ways in which the security of data can be ensured within a computerised accounting system,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),The accounting system,the ways in which the security of data can be ensured within a computerised accounting system,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),The accounting system,the ways in which the security of data can be ensured within a computerised accounting system,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),The accounting system,use their understanding of the accounting system to evaluate relevant information and make informed business decisions,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),The accounting system,use their understanding of the accounting system to evaluate relevant information and make informed business decisions,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),The accounting system,use their understanding of the accounting system to evaluate relevant information and make informed business decisions,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),The accounting system,use their understanding of the accounting system to evaluate relevant information and make informed business decisions,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),Capital and revenue income and expenditure,the difference between the treatment of capital and revenue income and capital and revenue expenditure,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),Capital and revenue income and expenditure,the difference between the treatment of capital and revenue income and capital and revenue expenditure,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),Capital and revenue income and expenditure,the difference between the treatment of capital and revenue income and capital and revenue expenditure,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),Capital and revenue income and expenditure,the difference between the treatment of capital and revenue income and capital and revenue expenditure,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),Capital and revenue income and expenditure,the effect on profit/loss and asset value of the incorrect treatment of capital and revenue expenditure,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),Capital and revenue income and expenditure,the effect on profit/loss and asset value of the incorrect treatment of capital and revenue expenditure,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),Capital and revenue income and expenditure,the effect on profit/loss and asset value of the incorrect treatment of capital and revenue expenditure,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),Capital and revenue income and expenditure,the effect on profit/loss and asset value of the incorrect treatment of capital and revenue expenditure,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),Changing asset values,factors that cause the value of non-current assets to depreciate,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),Changing asset values,factors that cause the value of non-current assets to depreciate,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),Changing asset values,factors that cause the value of non-current assets to depreciate,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),Changing asset values,factors that cause the value of non-current assets to depreciate,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),Changing asset values,the purpose of accounting for depreciation of non-current assets and the associated application of relevant accounting concepts,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),Changing asset values,the purpose of accounting for depreciation of non-current assets and the associated application of relevant accounting concepts,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),Changing asset values,the purpose of accounting for depreciation of non-current assets and the associated application of relevant accounting concepts,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),Changing asset values,the purpose of accounting for depreciation of non-current assets and the associated application of relevant accounting concepts,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),Changing asset values,how to calculate depreciation using the reducing balance and straight-line methods,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),Changing asset values,how to calculate depreciation using the reducing balance and straight-line methods,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),Changing asset values,how to calculate depreciation using the reducing balance and straight-line methods,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
